,year,schoolId,schoolName,subject,tested,percentPassing,zipcode,district,foodInsecurityPercent,medianHouseValue,computerAccessPercentage
206,2024,5284,Larry C Kennedy School,English Language Arts,234,11.0,85016,1,12.6,508400.0,96.92
207,2024,5284,Larry C Kennedy School,English Language Arts,234,11.0,85016,3,17.8,508400.0,96.92
208,2024,5284,Larry C Kennedy School,Mathematics,238,8.0,85016,1,12.6,508400.0,96.92
209,2024,5284,Larry C Kennedy School,Mathematics,238,8.0,85016,3,17.8,508400.0,96.92
210,2024,5285,Loma Linda Elementary School,English Language Arts,292,14.0,85016,1,12.6,508400.0,96.92
211,2024,5285,Loma Linda Elementary School,English Language Arts,292,14.0,85016,3,17.8,508400.0,96.92
212,2024,5285,Loma Linda Elementary School,Mathematics,293,9.0,85016,1,12.6,508400.0,96.92
213,2024,5285,Loma Linda Elementary School,Mathematics,293,9.0,85016,3,17.8,508400.0,96.92
214,2024,5286,William T Machan Elementary School,English Language Arts,347,11.0,85006,3,17.8,376600.0,92.59
215,2024,5286,William T Machan Elementary School,Mathematics,350,7.0,85006,3,17.8,376600.0,92.59
216,2024,5287,Monte Vista Elementary School,English Language Arts,493,16.0,85018,1,12.6,805800.0,95.75
217,2024,5287,Monte Vista Elementary School,English Language Arts,493,16.0,85018,3,17.8,805800.0,95.75
218,2024,5287,Monte Vista Elementary School,Mathematics,504,11.0,85018,1,12.6,805800.0,95.75
219,2024,5287,Monte Vista Elementary School,Mathematics,504,11.0,85018,3,17.8,805800.0,95.75
220,2024,5288,Papago School,English Language Arts,527,15.0,85008,1,12.6,323600.0,95.95
221,2024,5288,Papago School,English Language Arts,527,15.0,85008,3,17.8,323600.0,95.95
222,2024,5288,Papago School,English Language Arts,527,15.0,85008,4,14.1,323600.0,95.95
223,2024,5288,Papago School,Mathematics,531,7.0,85008,1,12.6,323600.0,95.95
224,2024,5288,Papago School,Mathematics,531,7.0,85008,3,17.8,323600.0,95.95
225,2024,5288,Papago School,Mathematics,531,7.0,85008,4,14.1,323600.0,95.95
226,2024,5289,Biltmore Preparatory Academy,English Language Arts,292,39.0,85018,1,12.6,805800.0,95.75
227,2024,5289,Biltmore Preparatory Academy,English Language Arts,292,39.0,85018,3,17.8,805800.0,95.75
228,2024,5289,Biltmore Preparatory Academy,Mathematics,295,25.0,85018,1,12.6,805800.0,95.75
229,2024,5289,Biltmore Preparatory Academy,Mathematics,295,25.0,85018,3,17.8,805800.0,95.75
230,2024,6023,Gateway School,English Language Arts,399,11.0,85008,1,12.6,323600.0,95.95
231,2024,6023,Gateway School,English Language Arts,399,11.0,85008,3,17.8,323600.0,95.95
232,2024,6023,Gateway School,English Language Arts,399,11.0,85008,4,14.1,323600.0,95.95
233,2024,6023,Gateway School,Mathematics,409,6.0,85008,1,12.6,323600.0,95.95
234,2024,6023,Gateway School,Mathematics,409,6.0,85008,3,17.8,323600.0,95.95
235,2024,6023,Gateway School,Mathematics,409,6.0,85008,4,14.1,323600.0,95.95
236,2024,79285,Excelencia School,English Language Arts,333,18.0,85006,3,17.8,376600.0,92.59
237,2024,79285,Excelencia School,Mathematics,341,14.0,85006,3,17.8,376600.0,92.59
238,2024,5142,Deer Valley Middle School,English Language Arts,488,30.0,85027,1,12.6,316100.0,95.3
239,2024,5142,Deer Valley Middle School,English Language Arts,488,30.0,85027,8,12.8,316100.0,95.3
240,2024,5142,Deer Valley Middle School,Mathematics,492,14.0,85027,1,12.6,316100.0,95.3
241,2024,5142,Deer Valley Middle School,Mathematics,492,14.0,85027,8,12.8,316100.0,95.3
242,2024,5143,Village Meadows Elementary School,English Language Arts,193,42.0,85023,1,12.6,359200.0,97.22
243,2024,5143,Village Meadows Elementary School,English Language Arts,193,42.0,85023,8,12.8,359200.0,97.22
244,2024,5143,Village Meadows Elementary School,Mathematics,194,35.0,85023,1,12.6,359200.0,97.22
245,2024,5143,Village Meadows Elementary School,Mathematics,194,35.0,85023,8,12.8,359200.0,97.22
246,2024,5146,Constitution Elementary School,English Language Arts,247,33.0,85023,1,12.6,359200.0,97.22
247,2024,5146,Constitution Elementary School,English Language Arts,247,33.0,85023,8,12.8,359200.0,97.22
248,2024,5146,Constitution Elementary School,Mathematics,249,24.0,85023,1,12.6,359200.0,97.22
249,2024,5146,Constitution Elementary School,Mathematics,249,24.0,85023,8,12.8,359200.0,97.22
250,2024,5147,Sunrise Elementary School,English Language Arts,220,28.0,85053,8,12.8,329500.0,95.51
251,2024,5147,Sunrise Elementary School,Mathematics,228,19.0,85053,8,12.8,329500.0,95.51
252,2024,5157,Esperanza Elementary School,English Language Arts,253,30.0,85027,1,12.6,316100.0,95.3
253,2024,5157,Esperanza Elementary School,English Language Arts,253,30.0,85027,8,12.8,316100.0,95.3
254,2024,5157,Esperanza Elementary School,Mathematics,255,19.0,85027,1,12.6,316100.0,95.3
255,2024,5157,Esperanza Elementary School,Mathematics,255,19.0,85027,8,12.8,316100.0,95.3
256,2024,5162,Barry Goldwater High School,English Language Arts,391,41.0,85027,1,12.6,316100.0,95.3
257,2024,5162,Barry Goldwater High School,English Language Arts,391,41.0,85027,8,12.8,316100.0,95.3
258,2024,5162,Barry Goldwater High School,Mathematics,407,31.0,85027,1,12.6,316100.0,95.3
259,2024,5162,Barry Goldwater High School,Mathematics,407,31.0,85027,8,12.8,316100.0,95.3
260,2024,6016,Paseo Hills School,English Language Arts,502,33.0,85027,1,12.6,316100.0,95.3
261,2024,6016,Paseo Hills School,English Language Arts,502,33.0,85027,8,12.8,316100.0,95.3
262,2024,6016,Paseo Hills School,Mathematics,501,25.0,85027,1,12.6,316100.0,95.3
263,2024,6016,Paseo Hills School,Mathematics,501,25.0,85027,8,12.8,316100.0,95.3
264,2024,79414,"Aspire, Deer Valley's Online Academy",English Language Arts,218,59.0,85027,1,12.6,316100.0,95.3
265,2024,79414,"Aspire, Deer Valley's Online Academy",English Language Arts,218,59.0,85027,8,12.8,316100.0,95.3
266,2024,79414,"Aspire, Deer Valley's Online Academy",Mathematics,218,43.0,85027,1,12.6,316100.0,95.3
267,2024,79414,"Aspire, Deer Valley's Online Academy",Mathematics,218,43.0,85027,8,12.8,316100.0,95.3
268,2024,79573,Stetson Hills School ,English Language Arts,626,62.0,85083,8,12.8,572600.0,98.5
269,2024,79573,Stetson Hills School ,Mathematics,632,72.0,85083,8,12.8,572600.0,98.5
